symbol,horizon,alpha,validation_ic,validation_mse
BTCUSDT,5s,0.0,0.008061701350972117,2.2667195693448248e-08
BTCUSDT,5s,1e-06,0.008061701351294946,2.2667195693447292e-08
BTCUSDT,5s,1e-05,0.008061701354200266,2.2667195693438676e-08
BTCUSDT,5s,0.0001,0.00806170138325351,2.266719569335246e-08
BTCUSDT,5s,0.001,0.00806170167378572,2.2667195692490376e-08
BTCUSDT,5s,0.01,0.008061704579107798,2.2667195683869444e-08
BTCUSDT,5s,0.1,0.008061733632308572,2.2667195597660386e-08
BTCUSDT,5s,1.0,0.00806202416231942,2.2667194735591743e-08
BTCUSDT,5s,10.0,0.0080649292625576,2.2667186117098477e-08
BTCUSDT,5s,100.0,0.008093960097240022,2.2667100150885495e-08
BTCUSDT,15s,0.0,-0.021356076122690776,7.504728745110177e-08
BTCUSDT,15s,1e-06,-0.021356076122229607,7.504728745109508e-08
BTCUSDT,15s,1e-05,-0.021356076118078875,7.50472874510348e-08
BTCUSDT,15s,0.0001,-0.021356076076571612,7.504728745043208e-08
BTCUSDT,15s,0.001,-0.021356075661499177,7.50472874444047e-08
BTCUSDT,15s,0.01,-0.02135607151077579,7.504728738413078e-08
BTCUSDT,15s,0.1,-0.02135603000361755,7.504728678139376e-08
BTCUSDT,15s,1.0,-0.021355614939600424,7.50472807542038e-08
BTCUSDT,15s,10.0,-0.021351465055780887,7.504722050034951e-08
BTCUSDT,15s,100.0,-0.02131004166559506,7.50466197584975e-08
BTCUSDT,30s,0.0,-0.02694190153874251,1.6141837311113385e-07
BTCUSDT,30s,1e-06,-0.026941901538359916,1.6141837311112053e-07
BTCUSDT,30s,1e-05,-0.02694190153491654,1.6141837311100084e-07
BTCUSDT,30s,0.0001,-0.026941901500482746,1.6141837310980398e-07
BTCUSDT,30s,0.001,-0.026941901156144907,1.6141837309783524e-07
BTCUSDT,30s,0.01,-0.02694189771276736,1.6141837297814814e-07
BTCUSDT,30s,0.1,-0.026941863279077532,1.6141837178128142e-07
BTCUSDT,30s,1.0,-0.026941518950729992,1.6141835981308959e-07
BTCUSDT,30s,10.0,-0.026938076522097877,1.6141824017861915e-07
BTCUSDT,30s,100.0,-0.026903737483051873,1.6141704854760086e-07
ETHUSDT,5s,0.0,-0.008608632143396435,3.621231293917007e-08
ETHUSDT,5s,1e-06,-0.008608632143384733,3.6212312939168493e-08
ETHUSDT,5s,1e-05,-0.008608632143279412,3.621231293915434e-08
ETHUSDT,5s,0.0001,-0.008608632142226211,3.621231293901276e-08
ETHUSDT,5s,0.001,-0.00860863213169458,3.621231293759703e-08
ETHUSDT,5s,0.01,-0.008608632026377428,3.6212312923439694e-08
ETHUSDT,5s,0.1,-0.008608630973162562,3.621231278186683e-08
ETHUSDT,5s,1.0,-0.008608620436691536,3.621231136619834e-08
ETHUSDT,5s,10.0,-0.008608514640118834,3.621229721550615e-08
ETHUSDT,5s,100.0,-0.008607413882152732,3.621215630387586e-08
ETHUSDT,15s,0.0,-0.023870182503902278,1.1481703804974106e-07
ETHUSDT,15s,1e-06,-0.023870182504208665,1.1481703804972686e-07
ETHUSDT,15s,1e-05,-0.02387018250696578,1.1481703804959893e-07
ETHUSDT,15s,0.0001,-0.023870182534537647,1.1481703804831982e-07
ETHUSDT,15s,0.001,-0.023870182810255894,1.148170380355283e-07
ETHUSDT,15s,0.01,-0.023870185567436277,1.148170379076135e-07
ETHUSDT,15s,0.1,-0.023870213139026406,1.1481703662847211e-07
ETHUSDT,15s,1.0,-0.023870488833568005,1.1481702383772034e-07
ETHUSDT,15s,10.0,-0.02387324364464921,1.1481689599636391e-07
ETHUSDT,15s,100.0,-0.023900579959434277,1.1481562414763693e-07
ETHUSDT,30s,0.0,-0.022408543173475726,2.3954234094564156e-07
ETHUSDT,30s,1e-06,-0.02240854317400093,2.395423409456023e-07
ETHUSDT,30s,1e-05,-0.022408543178727505,2.3954234094524833e-07
ETHUSDT,30s,0.0001,-0.022408543225993487,2.395423409417091e-07
ETHUSDT,30s,0.001,-0.02240854369865352,2.39542340906317e-07
ETHUSDT,30s,0.01,-0.022408548425250467,2.3954234055239577e-07
ETHUSDT,30s,0.1,-0.02240859569089917,2.395423370132048e-07
ETHUSDT,30s,1.0,-0.022409068315313422,2.395423016233639e-07
ETHUSDT,30s,10.0,-0.022413791354507443,2.3954194793169305e-07
ETHUSDT,30s,100.0,-0.02246070354112616,2.395384315141891e-07
