symbol,horizon,one_way_cost_bps,round_trip_cost_bps,candidate_timestamps,trades,participation_rate,mean_gross_log_return_per_trade,mean_net_log_return_per_trade,median_net_log_return_per_trade,net_hit_rate,cumulative_net_log_return
BTCUSDT,30s,0.0,0.0,8639,436,0.05046880425975229,-4.973744233924704e-05,-4.973744233924704e-05,9.99018634040283e-07,0.5022935779816514,-0.02168552485991171
BTCUSDT,30s,1.0,2.0,8639,436,0.05046880425975229,-4.973744233924704e-05,-0.0002497374423392471,-0.00019900098136595973,0.3555045871559633,-0.10888552485991174
BTCUSDT,30s,2.0,4.0,8639,436,0.05046880425975229,-4.973744233924704e-05,-0.000449737442339247,-0.00039900098136595974,0.25688073394495414,-0.1960855248599117
BTCUSDT,30s,5.0,10.0,8639,436,0.05046880425975229,-4.973744233924704e-05,-0.0010497374423392475,-0.0009990009813659597,0.07339449541284404,-0.4576855248599119
BTCUSDT,30s,10.0,20.0,8639,436,0.05046880425975229,-4.973744233924704e-05,-0.002049737442339248,-0.0019990009813659598,0.011467889908256881,-0.893685524859912
ETHUSDT,30s,0.0,0.0,8639,799,0.09248755643014238,6.957018471559086e-05,6.957018471559086e-05,4.945834866099119e-05,0.5181476846057572,0.05558657758775709
ETHUSDT,30s,1.0,2.0,8639,799,0.09248755643014238,6.957018471559086e-05,-0.0001304298152844092,-0.00015054165133900882,0.41802252816020025,-0.10421342241224295
ETHUSDT,30s,2.0,4.0,8639,799,0.09248755643014238,6.957018471559086e-05,-0.00033042981528440913,-0.00035054165133900883,0.34918648310387984,-0.2640134224122429
ETHUSDT,30s,5.0,10.0,8639,799,0.09248755643014238,6.957018471559086e-05,-0.0009304298152844093,-0.0009505416513390088,0.17521902377972465,-0.7434134224122431
ETHUSDT,30s,10.0,20.0,8639,799,0.09248755643014238,6.957018471559086e-05,-0.0019304298152844099,-0.0019505416513390089,0.0425531914893617,-1.5424134224122434
